קטגוריה,שאלה,תשובה א,תשובה ב,תשובה ג,תשובה ד,תשובה נכונה (מספר),רמת קושי,זמן (שניות)
גבעת חלפון,השלם את הציטוט המפורסם: 'לסרג'יו פנית – בודדת לא___',הצלחת,טעית,ידעת,הבנת,2,1,20
גבעת חלפון,מה הטיפול שסרג'יו מציע לויקטור ל'זפטה שמש'?,מנוחה,עיסוי,אמבטיה חול,תרופות,3,1,20
גבעת חלפון,השלם: 'לכל פקק יש בקבוק ולכל דלי יש...',מים,סמרטוט,ידית,חור,2,2,20
גבעת חלפון,מה סרג'יו אמר על בולגרים?,בולגרים חזקים,בולגרים טובים,אני אוהב בולגרים,אני לא סובל בולגרים,4,1,20
חגיגה בסנוקר,השלם: 'הצ'קים שלנו אף פעם לא...',מגיעים,נגמרים,חוזרים,נפדים,3,1,20
חגיגה בסנוקר,מה חנוכה אמר למוכר הירקות?,מתבייש מתבייש אבל הגרון יבש,אני רעב מאוד,תן לי ירקות,אין לי כסף,1,2,20
חגיגה בסנוקר,מה חנוכה רצה לקרוא ליד חנות הירקות?,תורה,תפילה,תהילים,זמירות,3,2,20
צ'ארלי וחצי,השלם: 'יין ישמח לבב אנוש... ואישה כמו___',ברכה,מתנה,חור בראש,אושר,3,1,20
צ'ארלי וחצי,השלם: 'מי מתעסק? זה___!',ציקו,דודו,מומו,מיקו,4,1,20
צ'ארלי וחצי,מה הביטוי המפורסם בקלפים?,אס זוכה... קינג בוכה,מלך מנצח תמיד,אס מנצח הכל,קינג הכי חזק,1,2,20
אסקימו לימון,מה שם הבחורה שבנצי מאוהב בה בסרט הראשון?,נילי,מירי,סטלה,שרי,1,2,20
אסקימו לימון,איך סטלה קוראת ליודלה?,מתוק שלי,שטרודל שלי,חמוד שלי,יפה שלי,2,2,20
אסקימו לימון,מה השיר בסצנת הסיום העצובה?,Help,Yesterday,Hello,Mr. Lonely,4,2,20
מבצע סבתא,השלם את הציטוט: 'סבתא חיה___!',חולה,מתה,ישנה,בריאה,2,1,20
מבצע סבתא,מה בני שגיב מבקש לתקן את המקרר?,פטיש ומברג,בקבוק ספרייט ומספריים,מברג ודבק,חוט וסרט,2,2,20
אלכס חולה אהבה,מה יאנוש אמר על ילדים?,ילדים זה דרעק,ילדים זה יפה,ילדים זה כיף,אני אוהב ילדים,1,1,20
אלכס חולה אהבה,מה הפולקע של קלרה?,אייזן (ברזל),זהב,כסף,נחושת,1,2,20
אסקימו לימון - ספיחס,"השלם את דברי רס""""ר שמש: 'אתם כוכבים ואני הירח אתם קוצים ואני...'",שושנה,וורד,פרח,עץ,1,2,20
אסקימו לימון - ספיחס,מה שמש הבטיח שקיטבג יאכל?,חול,פלפל חריף,הרבה הרבה חצץ,אבנים,3,2,20
גבעת חלפון,מה שם הבסיס בסרט?,בסיס מרכז,בסיס דרום,בסיס צפון,גבעת חלפון,4,1,20
גבעת חלפון,מה ויקטור חסון אמר כשחיפש את הים?,איפה הים פה?,שעה שאני מחפש את הים לא יכול לשים שלט קטן 'ים'?,אני צמא למים,איפה הים הקרוב?,2,3,25
גבעת חלפון,מה סרג'יו אמר שצריך לרשום במקום בולגרים?,טורקים רק,רומנים בלבד,ג'ינג'י עם מפתח שוודי,איטלקים טובים,3,4,25
גבעת חלפון,מי ניסה להסתיר תותח מהביקורת?,גשש חיה,ניקו הטבח,החיילים של סרג'יו,כל הבסיס,3,3,25
גבעת חלפון,מה גשש איבגי עשה בבסיס?,ניקה,בישל,דיבר ברדיו,שמר על הבסיס,4,3,25
חגיגה בסנוקר,למי שייכת מזוודת המקלות שאף אחד לא נוגע בה?,לחנוכה,לדוד סלבדור,לסבא,לאבא,2,4,25
חגיגה בסנוקר,מה חנוכה הציע למוכר הירקות?,מכור לי בזול,תן לי הנחה,בוא נשחק קלפים,קח כמה מנדרינות על חשבוני ולך לטייל,4,4,25
חגיגה בסנוקר,איפה המוכר אמר לחנוכה לקרוא תהילים?,תלך לבית,תהילים בבית כנסת,תהילים תקרא בבית,לך הביתה,3,3,25
חגיגה בסנוקר,מי כיכב בתפקיד הראשי?,משה איבגי,יהורם גאון,שייקה לוי,גידי גוב,2,3,25
צ'ארלי וחצי,מה ששון (צ'ארלי) אמר על מיקו בתאונה המבוימת?,זה לא רציני,הוא בסדר גמור,הוא פצוע קשה לא יודעים מה יש לו,הוא רק מדמם,3,4,25
צ'ארלי וחצי,מה צ'ארלי אמר לאמא שלו?,יאללה בס!,עזבי אותי,די כבר,שקט,1,3,25
צ'ארלי וחצי,למי צ'ארלי שייך?,למשפחה עשירה,לזקן,לילד בשם ששון,לאיש עסקים,3,3,25
צ'ארלי וחצי,מי אמר את הציטוט 'יין ישמח לבב אנוש'?,האבא,ששון,מיקו,זאכי (אריה אליאס),4,4,25
מבצע סבתא,מה קרמבו אמר לקלאודיו באנגלית?,Come here please,Hello my friend,You want to come to my room? a cup of coffee... fuck of tea?,I love you,3,4,25
מבצע סבתא,לפי דבורה איפה היא שמה את סבתא?,שמת אותה במלון,זרקת אותה לבית אבות ועכשיו הכל על הזין שלך,לקחת אותה לטיול,הסתרת אותה בבית,2,4,25
מבצע סבתא,מה קרמבו ניסה למכור?,פלאפל,קרמבו,שווארמה,בורקס,2,3,25
אלכס חולה אהבה,מה אלכס צעק לפארוק?,פארוק תעזור לי,פארוק תסגור את התריס אנחנו ליד השולחן!,פארוק בוא הנה,פארוק תביא מים,2,4,25
אלכס חולה אהבה,איך יאנוש קרא לדודה לולה?,הנימפומנית הזאת,האישה המטורפת,הדודה המשוגעת,הסבתא הזקנה,1,4,25
אלכס חולה אהבה,במה אלכס עובד?,אוטובוסים,מוניות,משלוחים,מסעדה,2,3,25
אסקימו לימון,מה סטלה אמרת ליודלה?,תתקרב יותר קרוב... סטלה תעשה לך טוב,בוא אליי,אני אוהבת אותך,תן לי נשיקה,1,3,25
אסקימו לימון,מה קרה למשקפיים של יודלה?,נפלו למקלחות הבנות כשהוא מציץ,נשברו,אבדו,גנבו לו,1,4,25
גבעת חלפון,באיזו שנה יצא הסרט לאקרנים?,1976,1977,1978,1975,2,5,30
גבעת חלפון,מי ביים את הסרט?,דני וולמן,אפרם קישון,בועז דוידסון,אסי דיין,4,5,30
מבצע סבתא,מה מספר המקרר שבני שגיב מתקן?,7-ב,8-א,9-ג,6-א,2,5,30
מבצע סבתא,מי שיחק את תפקיד זינגר?,דובלה גליקמן,משה איבגי,יהורם גאון,יוסף שילוח,4,5,30
אלכס חולה אהבה,כמה נשיקות (עם לשון) יאנוש נתן ללולה?,12,10,11,9,3,5,30
אלכס חולה אהבה,מי כיכב בתפקיד הראשי של אלכס?,יוסי בנאי,ידידיה ויטאל,ירון לונדון,דודו טופז,2,5,30
אסקימו לימון,כמה סרטים יש בסדרת אסקימו לימון?,7,8,9,6,2,5,30
אסקימו לימון,מי ביים את הסרט הראשון?,צביקה פיק,בועז דוידסון,דודו טופז,אפרים קישון,2,5,30
חגיגה בסנוקר,מי כתב את המוזיקה לסרט?,דובי זלצר,נורית הירש,מתי כספי,יוני רכטר,1,5,30
צ'ארלי וחצי,באיזו שנה יצא הסרט?,1974,1975,1973,1976,1,5,30
,,,,,,,,
=== משימות / עונשים ===,,,,,,,,
מספר,משימה/עונש,משך (שניות),,,,,,
1,לחש למישהו 'בוא סטלה תעשה לך טוב' ומלטף לו את הברך,25,,,,,,
2,"עמוד דום וצרח 'אני השושנה!' 5 פעמים כמו רס""""ר שמש",20,,,,,,
3,שיר את Mr. Lonely עם פרצוף בוכה כמו בנצי,30,,,,,,
4,נסה למכור לכולם 'אמבטיה חול' במשך דקה שלמה במבטא רומני כבד של סרג'יו,60,,,,,,
5,התחזה למיקו ואיים על מישהו: 'מי מתעסק? זה מיקו!' תוך כדי תנועות ידיים מוגזמות,25,,,,,,
6,חקה את סרג'יו צועק 'בלגן! בלגן!' 5 פעמים בגוונים שונים,20,,,,,,
7,נבח כמו צ'ארלי הכלב למשך 15 שניות,15,,,,,,
8,חקה את קרמבו אומר באנגלית: 'You want coffee... fuck of tea?' לכל אחד בחדר,30,,,,,,
9,עשה את הפרצוף של צ'ארלי והצעק 'יאללה בס!' 3 פעמים,20,,,,,,
10,התחפש לזינגר-סבתא ודבר בקול גבוה 'סבתא חיה מתה!',25,,,,,,
11,אמור כמו יאנוש: 'ילדים זה דרעק!' תוך כדי הבעת פנים מגעילה,15,,,,,,
12,חקה את ויקטור חסון מחפש את הים: 'שעה שאני מחפש את הים לא יכול לשים שלט קטן ים?',25,,,,,,
13,צעק כמו אלכס: 'פארוק תסגור את התריס!' 3 פעמים,20,,,,,,
14,אמור בפתטיות: 'לסרג'יו פנית – בודדת לא טעית' תוך כדי קידה,20,,,,,,
15,דבר כמו ניקו הטבח במבטא פרסי למשך 30 שניות,30,,,,,,
16,שחק סנוקר דמיוני עם פרשנות ענפה: 'מושון! לא לא לא!' כמו בחגיגה בסנוקר,35,,,,,,
17,התפאר ב'פולקע אייזן' (ברזל) של קלרה ותסביר למה זה חשוב,25,,,,,,
18,אמור: 'אס זוכה קינג בוכה' 5 פעמים תוך כדי תנועות קלפים דמיוניות,20,,,,,,
19,שיר 'יין ישמח לבב אנוש ואישה כמו חור בראש' כמו זאכי,25,,,,,,
20,חקה את ששון (צ'ארלי) מדבר על התאונה: 'הוא פצוע קשה לא יודעים מה יש לו' - בפאניקה,30,,,,,,
