מספר,קטגוריה,שאלה,תשובה א,תשובה ב,תשובה ג,תשובה ד,תשובה נכונה,רמת קושי,הערות
1,גבעת חלפון,השלם: 'אני לא אוהב___',טורקים,ערבים,גשם,סרטים,טורקים,1,
2,גבעת חלפון,מה שמו של הקצין המפקד?,בצלאל,שמוליק,סרג'יו,ניקו,סרג'יו,1,
3,צ'ארלי וחצי,מה שם הכלב הגדול?,מקס,צ'ארלי,בובי,רקס,צ'ארלי,1,
4,מבצע סבתא,מה רצה קרמבו למכור?,קרמבו,פלאפל,שווארמה,בורקס,קרמבו,1,
5,אסקימו לימון,מה שמו של הדמות הראשית?,מומו,בנצי,יוסי,דודו,בנצי,1,
6,גבעת חלפון,איך קוראים לטבח המחנה?,חיים,אברהם,יוסף,ניקו,ניקו,1,
7,חגיגה בסנוקר,איפה מתרחש הסרט?,בבריכה,במועדון סנוקר,בבית קפה,בכביש,במועדון סנוקר,1,
8,אלכס חולה אהבה,מה שמו של הגיבור?,דני,אלכס,יוסי,רוני,אלכס,1,
9,גבעת חלפון,מה תפקידו של גשש חיה?,טבח,שומר,קצין,חייל,שומר,1,
10,צ'ארלי וחצי,מי בעליו של צ'ארלי?,ילד,זקן,אישה,משפחה,ילד,1,
11,אהבה קולומביאנית,איך קוראים לגיבור?,תותי,דודו,ציקו,מומו,תותי,1,
12,מבצע סבתא,מה תפקיד זינגר?,שופט,פושע,יהלומן,קצין,יהלומן,1,
13,גבעת חלפון,מה אמר ניקו כשאין מה לאכול?,יאללה להתחיל,בואו נשחק,ניכנס לתפריט,זה בסדר,ניכנס לתפריט,1,
14,אסקימו לימון,באיזו תקופה הסרט מתרחש?,שנות ה-50,שנות ה-60,שנות ה-70,שנות ה-80,שנות ה-70,1,
15,חגיגה בסנוקר,מה המשחק המרכזי?,שחמט,סנוקר,קלפים,בילבורד,סנוקר,1,
16,גבעת חלפון,איזה צבע ביגוד רואים הכי הרבה?,ירוק צבאי,כחול,אדום,צהוב,ירוק צבאי,1,
17,מבצע סבתא,מה קרמבו מנסה להבריח?,יהלומים,נשק,סמים,כסף,יהלומים,1,
18,גבעת חלפון,מה שם בתו של גשש איבגי?,שרה,מזל,רחל,דינה,מזל,2,
19,אסקימו לימון,מה שם החברה של בנצי?,רותי,מירי,ניקי,שרי,ניקי,2,
20,מבצע סבתא,איך זינגר מתחפש?,לרופא,לרב,לקצין,לסבתא,לסבתא,2,
21,גבעת חלפון,מה ניסו החיילים להסתיר?,טנק,ג'יפ,תותח,משאית,תותח,2,
22,חגיגה בסנוקר,מי השחקן הראשי?,יהורם גאון,ירון לונדון,משה איבגי,שייקה לוי,יהורם גאון,2,
23,צ'ארלי וחצי,מה הבעיה עם צ'ארלי?,חולה,גדול מדי,תוקפני,זקן,גדול מדי,2,
24,אלכס חולה אהבה,במה אלכס עובד?,מוניות,משלוחים,מכירות,מסעדה,מוניות,2,
25,אסקימו לימון,איך קוראים לאמא של בנצי?,מרגלית,שושנה,רוזה,גילה,רוזה,2,
26,גבעת חלפון,מה הסיבה לביקורת בבסיס?,תרגיל,ביקור שר,ביקור גנרל,יום עצמאות,ביקור גנרל,2,
27,אהבה קולומביאנית,לאן נוסע תותי?,ארגנטינה,ברזיל,קולומביה,מקסיקו,קולומביה,2,
28,מבצע סבתא,מי שיחק את קרמבו?,יהורם גאון,ירון לונדון,שמוליק קראוס,יוסף שילוח,ירון לונדון,2,
29,אסקימו לימון,מה מעמדו של בנצי בכיתה?,פופולרי,בולבול,ספורטאי,מנודה,בולבול,2,
30,גבעת חלפון,מה עשו עם התותח?,צבעו,החביאו,פירקו,קברו,החביאו,2,
31,חגיגה בסנוקר,על מה מהמרים בסרט?,משחק סנוקר,מירוץ,קלפים,כדורגל,משחק סנוקר,2,
32,צ'ארלי וחצי,מי רוצה להיפטר מצ'ארלי?,המשפחה,השכנים,העירייה,הכולל,הכולל,2,
33,אלכס חולה אהבה,באיזה עיר מתרחש הסרט?,ירושלים,תל אביב,חיפה,באר שבע,תל אביב,2,
34,אסקימו לימון,מה החלום של בנצי?,להתעשר,לאהוב,להיות פופולרי,לעזוב את הארץ,לאהוב,2,
35,גבעת חלפון,מי ביים את הסרט?,אסי דיין,בועז דוידסון,אפרים קישון,יהורם גאון,אסי דיין,3,
36,מבצע סבתא,באיזו שנה יצא הסרט?,1997,1999,2000,2002,1999,3,
37,אסקימו לימון,איך קוראים לחבר הטוב של בנצי?,מומו,יוסי,דודו,ויקטור,מומו,3,
38,חגיגה בסנוקר,מי כתב את המוזיקה?,דובי זלצר,יוני רכטר,נורית הירש,מתי כספי,דובי זלצר,3,
39,גבעת חלפון,מה שנת היציאה של הסרט?,1975,1976,1977,1978,1977,3,
40,אהבה קולומביאנית,מי ביים את הסרט?,דודו טופז,צביקה פיק,אפרים קישון,משה דדון,צביקה פיק,3,
41,צ'ארלי וחצי,באיזו שנה יצא הסרט?,1972,1974,1975,1976,1976,3,
42,אסקימו לימון,כמה סרטים יש בסדרה?,6,7,8,9,8,3,
43,גבעת חלפון,מי שיחק את ניקו?,גבי עמרני,ציון ברוך,מוני מושונוב,בובה,גבי עמרני,3,
44,מבצע סבתא,מי שיחק את תפקיד זינגר?,דובלה גליקמן,משה איבגי,יוסף שילוח,יהורם גאון,יוסף שילוח,3,
45,אלכס חולה אהבה,מי כיכב בתפקיד הראשי?,יוסי בנאי,ורדה בן חור,ידידיה ויטאל,ירון לונדון,ידידיה ויטאל,3,
46,חגיגה בסנוקר,מי שיחק את המנהל?,שמעון ישראלי,יוסף שילוח,משה איבגי,בובה,משה איבגי,3,
47,אסקימו לימון,מי ביים את הסרט הראשון?,בועז דוידסון,דודו טופז,צביקה פיק,אפרים קישון,בועז דוידסון,3,
48,גבעת חלפון,מה דרגתו של סרג'יו?,סגן,רב סרן,סרן,רב סמל,רב סרן,3,
49,אהבה קולומביאנית,מי כתב את התסריט?,אלי טבור,גדעון קולירין,עפר קולירין,צביקה פיק,צביקה פיק,3,
50,צ'ארלי וחצי,מי במאי הסרט?,אסי דיין,בועז דוידסון,בועז דוידזון,יואב צפיר,בועז דוידסון,3,
